Código do Descritor,Descritor,Nível de Complexidade do Texto,Código da Classe,Classes,1EF,2EF,3EF,4EF,5EF,Prio Ped,BNCC,SAEB
D15-2EF,"Inferir o sentido de palavra ou  expressão idiomática própria da linguagem informal, em texto de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-2EF-CL05,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico), em contos infantis.",x,x,x,x,x,1.0,EF35LP05 ,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-2EF,"Inferir o sentido de palavra ou  expressão idiomática própria da linguagem informal, em texto de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-2EF-CL06,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico), em fábulas.",x,x,x,x,x,1.0,EF35LP05 ,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-2EF,"Inferir o sentido de palavra ou  expressão idiomática própria da linguagem informal, em texto de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-2EF-CL07,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico), em poemas narrativos.",x,x,x,x,x,1.0,EF35LP05 ,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-2EF,"Inferir o sentido de palavra ou  expressão idiomática própria da linguagem informal, em texto de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-2EF-CL08,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico), em regras de convivência.",x,x,x,x,x,1.0,EF35LP05 ,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-2EF,"Inferir o sentido de palavra ou  expressão idiomática própria da linguagem informal, em texto de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-2EF-CL09,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico), em notícias.",x,x,x,x,x,1.0,EF35LP05 ,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-2EF,"Inferir o sentido de palavra ou  expressão idiomática própria da linguagem informal, em texto de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-2EF-CL10,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico), em verbetes.",x,x,x,x,x,1.0,EF35LP05 ,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-2EF,"Inferir o sentido de palavra ou  expressão idiomática própria da linguagem informal, em texto de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-2EF-CL11,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico), em textos de curiosidades.",x,x,x,x,x,1.0,EF35LP05 ,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL01,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em cartas.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL02,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em cardápio.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL03,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em receita.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL04,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em regra de jogo/brincadeira.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL05,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em contos infantis.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL06,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em fábulas.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL07,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em poemas narrativos.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL08,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em regras de convivência.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL09,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em notícias.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL10,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em cartas do leitor.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL11,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em verbetes.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-3EF,"Inferir o sentido de palavra pouco usual ou expressão metafórica, em textos de nível 1, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão).","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D15-3EF-CL12,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ou expressão), em textos de curiosidades.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-4EF,Inferir o sentido de metáforas poéticas em textos de nível 2.,"Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, do campo de atuação artístico literário.",D15-4EF-CL01,Inferir o sentido de metáforas poéticas em contos infantis.,x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano
"
D15-4EF,Inferir o sentido de metáforas poéticas em textos de nível 2.,"Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, do campo de atuação artístico literário.",D15-4EF-CL02,Inferir o sentido de metáforas poéticas em fábulas.,x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano
"
D15-4EF,Inferir o sentido de metáforas poéticas em textos de nível 2.,"Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, do campo de atuação artístico literário.",D15-4EF-CL03,Inferir o sentido de metáforas poéticas em poemas.,x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano
"
D15-4EF,Inferir o sentido de metáforas poéticas em textos de nível 2.,"Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, do campo de atuação artístico literário.",D15-4EF-CL04,Inferir o sentido de metáforas poéticas em textos teatrais.,x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL01,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em cartas.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL02,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em diários.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL03,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em receita.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL04,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em instruções de montagem.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL05,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em contos infantis.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL06,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em fábulas.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL07,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em poemas.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL08,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em estatutos e leis adaptados ao público infantil.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL09,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em notícias.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL10,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em reportagens adaptadas ao público infantil.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL11,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em cartas do leitor.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D15-5EF-CL12,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em verbetes.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D15-5EF,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, em texto de nível 2,  sem apoio em pistas co-textuais.","Textos de até 15 linhas, com períodos de até duas linhas e intercalações breves, dos campos de atuação artístico literário, da vida pública ou de estudos e pesquisas.",D13-5EF-CL13,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais, em textos de curiosidades.",x,x,x,x,x,1.0,EF35LP05,"Inferir o sentido de palavras ou
expressões em textos (5º ao 9º ano)
"
D16-2EF,"Inferir informação, em texto de nível 1, com base numa palavra-chave.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-2EF-CL01,Inferir informação com base numa palavra-chave em cartas.,x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-2EF,"Inferir informação, em texto de nível 1, com base numa palavra-chave.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-2EF-CL02,Inferir informação com base numa palavra-chave em cardápio.,x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-2EF,"Inferir informação, em texto de nível 1, com base numa palavra-chave.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-2EF-CL03,Inferir informação com base numa palavra-chave em receita.,x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-2EF,"Inferir informação, em texto de nível 1, com base numa palavra-chave.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-2EF-CL04,Inferir informação com base numa palavra-chave a em regra de jogo/brincadeira.,x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-2EF,"Inferir informação, em texto de nível 1, com base numa palavra-chave.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-2EF-CL05,Inferir informação com base numa palavra-chave em contos infantis.,x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-2EF,"Inferir informação, em texto de nível 1, com base numa palavra-chave.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-2EF-CL06,Inferir informação com base numa palavra-chave em fábulas.,x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-2EF,"Inferir informação, em texto de nível 1, com base numa palavra-chave.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-2EF-CL07,Inferir informação com base numa palavra-chave em poemas narrativos.,x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-2EF,"Inferir informação, em texto de nível 1, com base numa palavra-chave.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-2EF-CL08,Inferir informação com base numa palavra-chave em regras de convivência.,x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-2EF,"Inferir informação, em texto de nível 1, com base numa palavra-chave.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-2EF-CL09,Inferir informação com base numa palavra-chave em notícias.,x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-2EF,"Inferir informação, em texto de nível 1, com base numa palavra-chave.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D13-2EF-CL11,Inferir informação com base numa palavra-chave em textos de curiosidades.,x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-3EF,"Inferir informação, em texto de nível 1,  com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-3EF-CL01,"Inferir informação, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados, em cartas.",x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-3EF,"Inferir informação, em texto de nível 1,  com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-3EF-CL02,"Inferir informação, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados, em cardápio.",x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-3EF,"Inferir informação, em texto de nível 1,  com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-3EF-CL03,"Inferir informação, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados, em receita.",x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-3EF,"Inferir informação, em texto de nível 1,  com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-3EF-CL04,"Inferir informação, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados, regra de jogo/brincadeira.",x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-3EF,"Inferir informação, em texto de nível 1,  com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-3EF-CL05,"Inferir informação, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados, em contos infantis.",x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-3EF,"Inferir informação, em texto de nível 1,  com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-3EF-CL06,"Inferir informação, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados, em fábulas.",x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-3EF,"Inferir informação, em texto de nível 1,  com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-3EF-CL07,"Inferir informação, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados, em poemas narrativos.",x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-3EF,"Inferir informação, em texto de nível 1,  com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-3EF-CL08,"Inferir informação, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados, em regras de convivência.",x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
D16-3EF,"Inferir informação, em texto de nível 1,  com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.","Textos de até 10 linhas, compostos por períodos com intercalações breves, que circulam em qualquer dos campos de atuação.",D16-3EF-CL09,"Inferir informação, com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados, em notícias.",x,x,x,x,x,1.0,EF35LP04,"Inferir informações em textos verbais.(2º. Ano)
Inferir informações implícitas em
textos. (5º ao 9º ano)
"
